"uuid","identifier","createdBy","createdAtGMT","modifiedBy","modifiedAtGMT","FeatureID","FeatureType","ShelterAuthor","ShelterTimestamp","FeatureSource","NumberOfIterationsSubtype","FeatureDescription","Latitude","Longitude","Northing","Easting","Accuracy","LanduseOnTop","LanduseAround","OverviewPhoto","LocaleDescription","EntrywayType","AccessiblityOfShelterDuringVisit","EntrywayFacesDirection","CommentsOnEntrywayAndAccess","EntrywayPhoto","EmergencyExitShape","EmergencyExitLocation","NotesOnEmergencyExit","EmergencyExitPhoto","DistanceFromSwanNeckToEmergencyExitM","InteriorDescription","InteriorPhoto","CommentsAndRecommendations","geospatialcolumn"
"1000021682772221808","210-{Shelter_Type_III}","Adela Sobotkova","2023-04-29 12:43:55.189 GMT","Adela Sobotkova","2023-04-29 12:51:33 GMT","210","Shelter Type III","Adela Sobotkova","2023-04-29 14:43:41+02:00","Map","2","two side by side shelters ( se to nw oriented) at the start of Ceres/Tivoli forest from tankrogen","56.1383547473629","10.205172766297155","6222132.370382497","574893.1577975099","3.0","Trees","Forest","{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Shelter/OverviewPhoto/210_Shelter_Type_III__1.jpg''}}","Tivoli forest edge towards tankrogen","Concrete slabs","Barred (concrete slabs or earthen cover bar access fully or partially)","NE","nice clear if barred entrance","{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Shelter/EntrywayPhoto/210_Shelter_Type_III__1.jpg''}}","Square","Side","northern side, covered by metal","{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Shelter/EmergencyExitPhoto/210_Shelter_Type_III__1.jpg''}}","0.3","inaccessible","","","POINT(574893.157798 6222132.370382)"
"1000021682772698706","211-{Shelter_Type_III}","Adela Sobotkova","2023-04-29 12:51:38.706 GMT","Adela Sobotkova","2023-04-29 12:52:18 GMT","211","Shelter Type III","Adela Sobotkova","2023-04-29 14:51:38+02:00","Map","2","two side by side shelters ( se to nw oriented) at the start of Ceres/Tivoli forest from tankrogen. the shelters entrance face each other with 210","56.13827036115713","10.205125750392927","6222122.927965045","574890.4002996547","3.0","Trees","Forest","{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Shelter/OverviewPhoto/211_Shelter_Type_III__1.jpg''}, ''2'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Shelter/OverviewPhoto/211_Shelter_Type_III__2.jpg''}}","Tivoli forest edge towards tankrogen","Concrete slabs","Barred (concrete slabs or earthen cover bar access fully or partially)","SW","nice clear if barred entrance, faces entrance from 210","{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Shelter/EntrywayPhoto/211_Shelter_Type_III__1.jpg''}}","Square","Side","northern side, concrete covered","{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Shelter/EmergencyExitPhoto/211_Shelter_Type_III__1.jpg''}}","0.3","inaccessible","","","POINT(574890.4003 6222122.927965)"
"1000021682773797501","212-{Shelter_Type_III}","Adela Sobotkova","2023-04-29 13:10:39.511 GMT","Adela Sobotkova","2023-04-29 13:11:31 GMT","212","Shelter Type III","Adela Sobotkova","2023-04-29 15:09:57+02:00","Map","2","cluster of two side by side shelters in the Tivoli forest, parallel positioned separated by 5 m","56.13627154104743","10.201804923580282","6221896.878511814","574687.9199712751","3.0","Trees","Forest","{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Shelter/OverviewPhoto/212_Shelter_Type_III__1.jpg''}, ''2'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Shelter/OverviewPhoto/212_Shelter_Type_III__2.jpg''}}","south of picnic area, east of Tivoli","Concrete slabs","Barred (concrete slabs or earthen cover bar access fully or partially)","SW","very clear","{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Shelter/EntrywayPhoto/212_Shelter_Type_III__1.jpg''}}","Square","Side","north edge, overgrown by trees so poor view","{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Shelter/EmergencyExitPhoto/212_Shelter_Type_III__1.jpg''}}","0.3","inaccessible","","","POINT(574687.919971 6221896.878512)"
"1000021682774169012","213-{Shelter_Type_III}","Adela Sobotkova","2023-04-29 13:16:09.012 GMT","Adela Sobotkova","2023-04-29 13:17:20 GMT","213","Shelter Type III","Adela Sobotkova","2023-04-29 15:16:08+02:00","Map","2","cluster of two side by side shelters in the Tivoli forest, parallel positioned separated by 5 m","56.136394254954496","10.201624627953185","6221910.340244931","574676.4779929434","3.0","Trees","Forest","{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Shelter/OverviewPhoto/213_Shelter_Type_III__1.jpg''}}","south of picnic area, east of Tivoli","Concrete slabs","Barred (concrete slabs or earthen cover bar access fully or partially)","SW","very clear","{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Shelter/EntrywayPhoto/213_Shelter_Type_III__1.jpg''}}","Square","Side","north edge","{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Shelter/EmergencyExitPhoto/213_Shelter_Type_III__1.jpg''}}","0.3","inaccessible","","","POINT(574676.477993 6221910.340245)"
"1000021682775158211","214-{Shelter_Type_III}","Adela Sobotkova","2023-04-29 13:34:35.951 GMT","Adela Sobotkova","2023-04-29 13:46:53 GMT","214","Shelter Type III","Adela Sobotkova","2023-04-29 15:32:38+02:00","Map","2","type iii A with one entrance and two exits with 100 person capacity, just by the Ceres arena road covered by debris, hard to photograph","56.13312011752011","10.197814323746819","6221541.842170502","574446.021167859","4.0","Shrubs","Forest","{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Shelter/OverviewPhoto/214_Shelter_Type_III__1.jpg''}, ''2'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Shelter/OverviewPhoto/214_Shelter_Type_III__2.jpg''}}","next to the road, the entryway and exits are in the roadside shrubs and opening into the forest
","Concrete slabs","Barred (concrete slabs or earthen cover bar access fully or partially)","NE","lower slab visible under debris and dead wood, ","{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Shelter/EntrywayPhoto/214_Shelter_Type_III__1.jpg''}}","Square","Side","two exits one north one south from entrance, no other entrance detected, so must be 3A central entrance type","{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Shelter/EmergencyExitPhoto/214_Shelter_Type_III__1.jpg''}, ''2'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Shelter/EmergencyExitPhoto/214_Shelter_Type_III__2.jpg''}}","","inaccessible, covered by debris","","","POINT(574446.021168 6221541.84217)"
"1000021682775276045","-","Adela Sobotkova","2023-04-29 13:34:36.045 GMT","Adela Sobotkova","2023-04-29 13:34:47 GMT","","","","","","","","56.13317362620678","10.197743069536664","6221547.7203001445","574441.4894712592","3.0","","","","","","","","","","","","","","","","","","POINT(574441.489471 6221547.7203)"
"1000021682776696750","215-{Shelter_Type_III}","Adela Sobotkova","2023-04-29 14:00:17.743 GMT","Adela Sobotkova","2023-04-29 14:03:39 GMT","215","Shelter Type III","Adela Sobotkova","2023-04-29 15:58:16+02:00","Map","5","5 iterations of parallel running side by side shelters of type 3 in forest opposite to Tivoli entrance. entrances are on the north edge and all face east, emergency exits are at south edge. earthworks connecting the shelters suggest there might be connecting corridors underground. edge units are a bit overgrown, but otherwise the area is clear of low vegetation. there are adult trees on top of shelters but the surface has been trodden and used","56.136181293373404","10.194973914270859","6221879.461096603","574263.594263567","3.0","Trees","Forest","{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Shelter/OverviewPhoto/215_Shelter_Type_III__1.jpg''}, ''2'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Shelter/OverviewPhoto/215_Shelter_Type_III__2.jpg''}}","across Tivoli across the road","Concrete slabs","Barred (concrete slabs or earthen cover bar access fully or partially)","E","clear and visible","{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Shelter/EntrywayPhoto/215_Shelter_Type_III__1.jpg''}}","Square","Side","clear from a side with some shrubs facing the path. concrete tile on top","{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Shelter/EmergencyExitPhoto/215_Shelter_Type_III__1.jpg''}}","0.3","","","","POINT(574263.594264 6221879.461097)"
"1000021682777411870","216-{Shelter_Type_III}","Adela Sobotkova","2023-04-29 14:10:11.871 GMT","Adela Sobotkova","2023-04-29 14:10:38 GMT","216","Shelter Type III","Adela Sobotkova","2023-04-29 16:10:11+02:00","Map","5","5 iterations of parallel running side by side shelters of type 3 in forest opposite to Tivoli entrance. entrances are on the north edge and all face east, emergency exits are at south edge. earthworks connecting the shelters suggest there might be connecting corridors underground. edge units are a bit overgrown, but otherwise the area is clear of low vegetation. there are adult trees on top of shelters but the surface has been trodden and used","56.13621508193549","10.194996132444674","6221883.245361207","574264.9098388478","3.0","Trees","Forest","{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Shelter/OverviewPhoto/216_Shelter_Type_III__1.jpg''}}","across Tivoli across the road","Concrete slabs","Barred (concrete slabs or earthen cover bar access fully or partially)","E","clear and visible","{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Shelter/EntrywayPhoto/216_Shelter_Type_III__1.jpg''}}","Square","Side","clear from a side with some shrubs facing the path. concrete tile on top","{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Shelter/EmergencyExitPhoto/216_Shelter_Type_III__1.jpg''}}","0.3","inaccessible","","","POINT(574264.909839 6221883.245361)"
"1000021682777556532","217-{Shelter_Type_III}","Adela Sobotkova","2023-04-29 14:12:36.532 GMT","Adela Sobotkova","2023-04-29 14:13:38 GMT","217","Shelter Type III","Adela Sobotkova","2023-04-29 16:12:36+02:00","Map","5","5 iterations of parallel running side by side shelters of type 3 in forest opposite to Tivoli entrance. entrances are on the north edge and all face east, emergency exits are at south edge. earthworks connecting the shelters suggest there might be connecting corridors underground. edge units are a bit overgrown, but otherwise the area is clear of low vegetation. there are adult trees on top of shelters but the surface has been trodden and used","56.13625212813375","10.194719032842762","6221887.070022794","574247.6185974798","4.0","Trees","Forest","{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Shelter/OverviewPhoto/217_Shelter_Type_III__1.jpg''}}","across Tivoli across the road","Concrete slabs","Barred (concrete slabs or earthen cover bar access fully or partially)","E","clear and visible, concrete tile fixed by metal ","{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Shelter/EntrywayPhoto/217_Shelter_Type_III__1.jpg''}}","Square","Side","clear from a side with some shrubs facing the path. concrete tile on top","{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Shelter/EmergencyExitPhoto/217_Shelter_Type_III__1.jpg''}}","0.3","inaccessible","","","POINT(574247.618597 6221887.070023)"
"1000021682777724779","218-{Shelter_Type_III}","Adela Sobotkova","2023-04-29 14:15:24.780 GMT","Adela Sobotkova","2023-04-29 14:17:01 GMT","218","Shelter Type III","Adela Sobotkova","2023-04-29 16:15:24+02:00","Map","5","5 iterations of parallel running side by side shelters of type 3 in forest opposite to Tivoli entrance. entrances are on the north edge and all face east, emergency exits are at south edge. earthworks connecting the shelters suggest there might be connecting corridors underground. edge units are a bit overgrown, but otherwise the area is clear of low vegetation. there are adult trees on top of shelters but the surface has been trodden and used","56.13616929948073","10.194557205093346","6221877.677834262","574237.7217274258","3.0","Trees","Forest","{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Shelter/OverviewPhoto/218_Shelter_Type_III__1.jpg''}}","across Tivoli across the road","Concrete slabs (top half replaced by metal sheets)","Barred (concrete slabs or earthen cover bar access fully or partially)","E","clear and visible, concrete tile on top fixed by metal , ","{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Shelter/EntrywayPhoto/218_Shelter_Type_III__1.jpg''}}","Square","Side","clear from a side with some shrubs facing the path. concrete tile on top","{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Shelter/EmergencyExitPhoto/218_Shelter_Type_III__1.jpg''}}","0.3","inaccessible","","","POINT(574237.721727 6221877.677834)"
"1000021682777873107","219-{Shelter_Type_III}","Adela Sobotkova","2023-04-29 14:17:53.107 GMT","Adela Sobotkova","2023-04-29 14:18:22 GMT","219","Shelter Type III","Adela Sobotkova","2023-04-29 16:17:52+02:00","Map","5","5 iterations of parallel running side by side shelters of type 3 in forest opposite to Tivoli entrance. entrances are on the north edge and all face east, emergency exits are at south edge. earthworks connecting the shelters suggest there might be connecting corridors underground. edge units are a bit overgrown, but otherwise the area is clear of low vegetation. there are adult trees on top of shelters but the surface has been trodden and used","56.13625164386577","10.194280586334795","6221886.544385715","574220.3731039515","4.0","Trees","Forest","{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Shelter/OverviewPhoto/219_Shelter_Type_III__1.jpg''}}","across Tivoli across the road","Concrete slabs","Barred (concrete slabs or earthen cover bar access fully or partially)","E","clear and visible, concrete tile on top fixed by metal","{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Shelter/EntrywayPhoto/219_Shelter_Type_III__1.jpg''}}","Square","Side","clear from a side with some shrubs facing the path. metal plate on top","{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Shelter/EmergencyExitPhoto/219_Shelter_Type_III__1.jpg''}}","0.3","inaccessible","","","POINT(574220.373104 6221886.544386)"
"1000021682779616308","220-{Shelter_Type_III}","Adela Sobotkova","2023-04-29 14:47:13.232 GMT","Adela Sobotkova","2023-04-29 14:54:37 GMT","220","Shelter Type III","Adela Sobotkova","2023-04-29 16:46:56+02:00","Map","Indeterminate","type 2 or 3, 3 m below under the strandvejen, hard to see and access as it is in a wire fenced yard, concrete slabs at entrance betray it. recorded remotely from across the yard, GPS recorded on the road above, can 4 m to W of entrance top","56.14549269365404","10.209440179447729","6222931.3964203345","575144.4062099281","4.0","Trees","Street","{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Shelter/OverviewPhoto/220_Shelter_Type_III__1.jpg''}}","in a fenced yard under strandvejen and across from skanseparken can 50 m deep into the road","Concrete slabs","Barred (concrete slabs or earthen cover bar access fully or partially)","E","entryway sighted remotely","{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Shelter/EntrywayPhoto/220_Shelter_Type_III__1.jpg''}}","Square","Side","v
barely visible, runs south of entrance towards streetlamp","{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Shelter/EmergencyExitPhoto/220_Shelter_Type_III__1.jpg''}}","0.3","","","","POINT(575144.40621 6222931.39642)"
"1000021682931098083","221-{Other}","Adela Sobotkova","2023-05-01 08:52:12.420 GMT","Adela Sobotkova","2023-05-01 08:53:44 GMT","221","Other,false positive : water pipe of concrete","Adela Sobotkova","2023-05-01 10:51:37+02:00","Map","NA","FP : concrete water conduit. square in cross section","56.14041566741725","10.175514957767252","6222329.93407656","573046.3209478555","3.0","Structure","Other (wooden makeshift cells with beehives)","{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Shelter/OverviewPhoto/221_Other__1.jpg''}}","at the train and road junction","Other","Open","N","not entryway but water pipe","{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Shelter/EntrywayPhoto/221_Other__1.jpg''}}","NA","NA","","","","na","","","POINT(573046.320948 6222329.934077)"
"1000021682932520559","222-{Other}","Adela Sobotkova","2023-05-01 09:15:49.937 GMT","Adela Sobotkova","2023-05-01 09:16:30 GMT","222","Other","Adela Sobotkova","2023-05-01 11:15:20+02:00","Map","NA","inaccessible location, no shelter sighted, possible FP, no sign of shelter, disturbed terrain","56.140584710255986","10.176307992089253","6222349.586945237","573095.2765798485","3.0","Shrubs","Forest","{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Shelter/OverviewPhoto/222_Other__1.jpg''}}","slope above railway end. under the fence of garden of a small house west of big apartment complex","NA","NA","NOT AVAILABLE","","","NA","NA","","","","","","","POINT(573095.27658 6222349.586945)"
"1000021682933388697","223-{Shelter_Type_III}","Adela Sobotkova","2023-05-01 09:30:00.071 GMT","Adela Sobotkova","2023-05-01 09:31:10 GMT","223","Shelter Type III","Adela Sobotkova","2023-05-01 11:29:48+02:00","Map","1","type 3 single in the middle of the road, grass covered with stone retaining wall to the south","56.13950341769264","10.18407241602925","6222237.502454462","573579.7940686459","3.0","Grass","Street","{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Shelter/OverviewPhoto/223_Shelter_Type_III__1.jpg''}, ''2'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Shelter/OverviewPhoto/223_Shelter_Type_III__2.jpg''}}","marselis blvd west most shelter","Concrete slabs","Barred (concrete slabs or earthen cover bar access fully or partially)","N","","{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Shelter/EntrywayPhoto/223_Shelter_Type_III__1.jpg''}}","Square","Side","","{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Shelter/EmergencyExitPhoto/223_Shelter_Type_III__1.jpg''}}","0.3","inaccessible","","","POINT(573579.794069 6222237.502454)"
"1000021682933770241","224-{Shelter_Type_III}","Adela Sobotkova","2023-05-01 09:36:10.242 GMT","Adela Sobotkova","2023-05-01 09:39:09 GMT","224","Shelter Type III","Adela Sobotkova","2023-05-01 11:36:10+02:00","Map","1","type 3 single in the middle of the road, grass covered with stone retaining wall to the south, positioned 20 m to east of 223","56.13949092718062","10.184624384683378","6222236.7011858765","573614.1161355693","3.0","Grass","Street","{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Shelter/OverviewPhoto/224_Shelter_Type_III__1.jpg''}, ''2'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Shelter/OverviewPhoto/224_Shelter_Type_III__2.jpg''}}","marselis blvd last but west most shelter","Concrete slabs","Barred (concrete slabs or earthen cover bar access fully or partially)","N","","{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Shelter/EntrywayPhoto/224_Shelter_Type_III__1.jpg''}, ''2'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Shelter/EntrywayPhoto/224_Shelter_Type_III__2.jpg''}}","Square","Side","big bush covers the swan neck, concrete tile on top","{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Shelter/EmergencyExitPhoto/224_Shelter_Type_III__1.jpg''}}","0.3","inaccessible","","","POINT(573614.116136 6222236.701186)"
