identifier,record_id,revision_id,type,created_by,created,updated_by,updated,author,id,hridShelter,feature-source,overview-photo,shelter-type,belongs-to-shelter-subtype,locale-description,take-point-from-gps,take-point-from-gps_latitude,take-point-from-gps_longitude,take-point-from-gps_accuracy,landuse-on-top,landuse-around,feature-note,Map,entryway-type,accessiblity-of-shelter-during-visit,entryway-direction,entryway-photo,comments-on-entryway,emergency-exit-shape,emergency-exit-location,distance-from-swan-neck-to-emergency-exit-m,emergency-exit-photo,notes-on-emergency-exit,interior-description,comments-and-recommendations
0197-III-Adela,rec-40dcf3e1-a928-45d8-ad5d-89e688249c5e,frev-fe2822a1-1cb0-497a-a406-43624799e470,Shelter,,2024-09-22T13:36:22.991Z,1.09468306189159E+020,2024-09-22T13:36:22.991Z,Adela,197,0197-III-Adela,Tommy Cassoes data,overview-photo/0197-III-Adela-overview-photo.jpg,III,Single iteration,Western side parallel with pedestrian access path leading from south to den Per,"{""type"":""Feature"",""properties"":{""timestamp"":1727011961350,""altitude"":44.5,""speed"":0.19451406598091125,""heading"":173.56069946289062,""accuracy"":9.300000190734863,""altitude_accuracy"":30.612722396850586},""geometry"":{""type"":""Point"",""coordinates"":[10.2281783,56.1756324]}}",56.1756324,10.2281783,9.30000019073486,Trees,Forest,"West side of the south access pedestrian path leading to Permanente,  under the trees. High (2-3m) above surround",1,Concrete slabs, Barred (concrete slabs or earthen cover bar access fully or partially), SE,entryway-photo/0197-III-Adela-entryway-photo.jpg,Sandfilter sealed w metal straps, Square, Side,0.3,emergency-exit-photo/0197-III-Adela-emergency-exit-photo.jpg,Old Concrete top,Inaccessible ,
0198-III-Adela,rec-db4ce7d2-8fd9-4372-be10-ac281bd78f6f,frev-f3a3d626-7b3f-41d5-8e7b-1e8b86947eea,Shelter,,2024-09-22T13:59:00.868Z,1.09468306189159E+020,2024-09-22T13:59:00.868Z,Adela,198,0198-III-Adela,Tommy Cassoes data,overview-photo/0198-III-Adela-overview-photo.jpg,III,Single iteration,"Stations gave 25 parking spot. Entrance visible, level with ground","{""type"":""Feature"",""properties"":{""timestamp"":1727013301059,""altitude"":44.5,""speed"":1.3506311178207397,""heading"":298,""accuracy"":8.5,""altitude_accuracy"":70.9929428100586},""geometry"":{""type"":""Point"",""coordinates"":[10.23409,56.1835917]}}",56.1835917,10.23409,8.5,Other,Urban structures or paved,,1,Concrete slabs, Barred (concrete slabs or earthen cover bar access fully or partially), NNE,entryway-photo/0198-III-Adela-entryway-photo.jpg,Entryway runs into green hedge and vegetation between prorties, NA, NA,0,,"Not found, vegetation obstructs",Inaccessible ,
0287-III-Adela,rec-9c2daa3c-3461-4cc2-8f00-677df4ee7bc0,frev-9ae9167b-9434-410e-9c72-f402b9c6be2b,Shelter,,2024-09-22T14:32:27.707Z,1.09468306189159E+020,2024-09-22T14:32:27.707Z,Adela,287,0287-III-Adela,Tommy Cassoes data,overview-photo/0287-III-Adela-overview-photo.jpg,III,Single iteration,"In park east off Rolighedvej, positioned parallel with the tram line, under a dense tree cover in otherwise grassy Park.","{""type"":""Feature"",""properties"":{""timestamp"":1727015077030,""altitude"":34.099999999999994,""speed"":0.5092907547950745,""heading"":174.99734497070312,""accuracy"":7.800000190734863,""altitude_accuracy"":111.69999694824219},""geometry"":{""type"":""Point"",""coordinates"":[10.2377599,56.1862882]}}",56.1862882,10.2377599,7.80000019073486,Trees,Grassland or park,,1,Concrete slabs,Open,WNW,entryway-photo/0287-III-Adela-entryway-photo.jpg;entryway-photo/0287-III-Adela-entryway-photo_1.jpg,"Unbarred, the slabs removed, the door is unlocked,  access takes a jump down onto staircase ", Square, Side,0.3,emergency-exit-photo/0287-III-Adela-emergency-exit-photo.jpg,,"accessible, full of mosquitoes,  spiders and trash ",
0288-III-Adela,rec-d2ca9b5d-8543-4f05-9923-78a947165892,frev-cb19a120-0c6a-48f2-9925-a25baac13c9c,Shelter,,2024-09-22T15:13:06.232Z,1.09468306189159E+020,2024-09-22T15:13:06.232Z,Adela,288,0288-III-Adela,Tommy Cassoes data,overview-photo/0288-III-Adela-overview-photo.jpg;overview-photo/0288-III-Adela-overview-photo_1.jpg,III,A,"Stand of trees in a residential area hides double capacity shelter,  accessible from both parking lots n and south. Invisible under the trees, angel stands at the E exit in photo","{""type"":""Feature"",""properties"":{""timestamp"":1727016549640,""altitude"":77.2,""speed"":0.301118940114975,""heading"":166.9198760986328,""accuracy"":5,""altitude_accuracy"":98.9000015258789},""geometry"":{""type"":""Point"",""coordinates"":[10.2342982,56.1951583]}}",56.1951583,10.2342982,5,Trees,Grassland or park,,1,Concrete slabs, Barred (concrete slabs or earthen cover bar access fully or partially),S,entryway-photo/0288-III-Adela-entryway-photo.jpg,"Only two slabs visible,  all others buried. Old concrete, undisturbe. Pipe sticks out of sandfilter and bends into the ground ", Square, Side,0.3,emergency-exit-photo/0288-III-Adela-emergency-exit-photo.jpg,"Metal lid, tall protruding from ground,  invisible due to shrubs and leaves.  Sneak some 25 o 40cm distant",Inaccessible ,
0289-III-Adela,rec-0facb3cb-9d55-41ab-a0e9-51e5590d6b60,frev-451721fa-4f1b-422f-bfea-9b981b9f0305,Shelter,,2024-09-22T15:20:13.350Z,1.09468306189159E+020,2024-09-22T15:20:13.350Z,Adela,289,0289-III-Adela,Tommy Cassoes data,overview-photo/0289-III-Adela-overview-photo.jpg,III,Single iteration,"Rigelvej  south corner at the edge of property, under the vegetation , angel stands on top of sandfilter drum in photo,,","{""type"":""Feature"",""properties"":{""timestamp"":1727018142375,""altitude"":77.2,""speed"":0.22812291979789734,""heading"":50.72174835205078,""accuracy"":7.5,""altitude_accuracy"":98.9000015258789},""geometry"":{""type"":""Point"",""coordinates"":[10.2266713,56.1979692]}}",56.1979692,10.2266713,7.5,Shrubs,Urban structures or paved,,1,Concrete slabs, Barred (concrete slabs or earthen cover bar access fully or partially), WSW,entryway-photo/0289-III-Adela-entryway-photo.jpg,We assume the entrance is from street but cannot confirm due to the vines. Very invisible in current state, Square, Side,0.3,emergency-exit-photo/0289-III-Adela-emergency-exit-photo.jpg,"Metal top, obscured by veg",Inaccessible ,
0290-III-Adela,rec-d6885156-fc23-4c85-800a-3624024b069a,frev-43f47fd8-faf8-4b59-9585-b22cf4abd204,Shelter,,2024-09-22T15:39:27.408Z,1.09468306189159E+020,2024-09-22T15:39:27.408Z,Adela,290,0290-III-Adela,Tommy Cassoes data,overview-photo/0290-III-Adela-overview-photo.jpg;overview-photo/0290-III-Adela-overview-photo_1.jpg,III,Single iteration,Next to roundabout in Risskovskolepark. VISIBLE,"{""type"":""Feature"",""properties"":{""timestamp"":1727019266324,""altitude"":87,""speed"":0.4982511103153229,""heading"":343,""accuracy"":13.100000381469727,""altitude_accuracy"":102.80000305175781},""geometry"":{""type"":""Point"",""coordinates"":[10.22947,56.1916833]}}",56.1916833,10.22947,13.1000003814697,Trees,Grassland or park,,1,Concrete slabs, Barred (concrete slabs or earthen cover bar access fully or partially),WNW,entryway-photo/0290-III-Adela-entryway-photo.jpg,"Easy to access, visible at close range, exit in scrub ,hard to see or access", Square, Side,0.3,emergency-exit-photo/0290-III-Adela-emergency-exit-photo.jpg,"Swanneck tall at 1m, obscured by scrub",Inaccessible ,
0291-III-Adela,rec-7e5de5f9-70b7-40f9-9999-3a5dd6f610a2,frev-a0ac4289-6adb-4857-a893-05fe628a9755,Shelter,,2024-09-22T15:54:48.592Z,1.09468306189159E+020,2024-09-22T15:54:48.592Z,Adela,291,0291-III-Adela,Tommy Cassoes data,overview-photo/0291-III-Adela-overview-photo.jpg,III,Single iteration,"Harald Selmers vej 2, in a park next to busstop,  covered by large linden trees, visible at short range, but not conspicuous ","{""type"":""Feature"",""properties"":{""timestamp"":1727020284241,""altitude"":110.7,""speed"":0.3299369513988495,""heading"":259,""accuracy"":11.5,""altitude_accuracy"":208.89999389648438},""geometry"":{""type"":""Point"",""coordinates"":[10.2254567,56.1852067]}}",56.1852067,10.2254567,11.5,Trees,Grassland or park,,1,Concrete slabs, Barred (concrete slabs or earthen cover bar access fully or partially),NNW,entryway-photo/0291-III-Adela-entryway-photo.jpg,Fallen trees over the sandfilter, Square, Side,0.3,emergency-exit-photo/0291-III-Adela-emergency-exit-photo.jpg,Concrete top,Inaccessible ,
0292-III-Adela,rec-db05e6b2-8f84-41d7-b51a-c24571f44f11,frev-fb75ad84-92cc-44ff-966b-180db1af5f5c,Shelter,,2024-09-22T16:13:13.982Z,1.09468306189159E+020,2024-09-22T16:13:13.982Z,Adela,292,0292-III-Adela,Tommy Cassoes data,overview-photo/0292-III-Adela-overview-photo.jpg,III,Single iteration,"Øster skovvej 8 and 10 , impenetrable scrub, unverifiable.  No feature visible, but visibility terrible. No paths trodden like in other places","{""type"":""Feature"",""properties"":{""timestamp"":1727021491412,""altitude"":71.19999694824219,""speed"":0,""heading"":0,""accuracy"":46.27399826049805,""altitude_accuracy"":7.174562931060791},""geometry"":{""type"":""Point"",""coordinates"":[10.229525,56.1823427]}}",56.1823427,10.229525,46.2739982604981,Shrubs,Other,,1, NA,NA, NOT AVAILABLE,entryway-photo/0292-III-Adela-entryway-photo.jpg,, NA, NA,0,emergency-exit-photo/0292-III-Adela-emergency-exit-photo.jpg,,,
0303-III-Adela,rec-e3c9c33a-6811-4df6-8a4d-fc96b3737f86,frev-7f95dd1d-0fb0-4f6e-9bf2-2ee5813b1e43,Shelter,,2024-10-12T13:11:11.748Z,1.09468306189159E+020,2024-10-12T13:11:11.748Z,Adela,303,0303-III-Adela,Tommy Cassoes data,overview-photo/0303-III-Adela-overview-photo.jpg,III,Single iteration,Vegavej location in a private garden with entrance facing off the road into garden. Exterior obscured by shrubs but concrete visible from sides,"{""type"":""Feature"",""properties"":{""timestamp"":1728738355317,""altitude"":112,""speed"":0.606884777545929,""heading"":289.2654724121094,""accuracy"":9.100000381469727,""altitude_accuracy"":1},""geometry"":{""type"":""Point"",""coordinates"":[10.1866118,56.12646]}}",56.12646,10.1866118,9.10000038146973,Shrubs,Urban structures or paved,"Half on stree, half inside garden",1, Doorway,NA, SW,entryway-photo/0303-III-Adela-entryway-photo.jpg,"Entry is on south edge of shelter. faces garden,accessibility indeterminate,  but appears open.", Square, Side,0.3,emergency-exit-photo/0303-III-Adela-emergency-exit-photo.jpg,"Inside red fence, inaccessible ",Inaccessible ,
0304-III-Adela,rec-9137f6f5-fd5a-420d-8067-898c9492d87b,frev-1e07d83a-8166-4e7a-a551-5fa55cb8bdf7,Shelter,,2024-10-12T13:24:33.102Z,1.09468306189159E+020,2024-10-12T13:28:34.790Z,Adela,304,0304-III-Adela,Tommy Cassoes data,overview-photo/0304-III-Adela-overview-photo.jpg,III,Single iteration,"North segment of roundabout,  heavily overgrown entrance and hiding under adult trees, almost invisible at clo see proximity ","{""type"":""Feature"",""properties"":{""timestamp"":1728739279487,""altitude"":56,""speed"":0.5656797289848328,""heading"":259,""accuracy"":9.199999809265137,""altitude_accuracy"":100.0999984741211},""geometry"":{""type"":""Point"",""coordinates"":[10.1842517,56.126945]}}",56.126945,10.1842517,9.19999980926514,Trees,Urban structures or paved,"Accessible from the roundabout, low wall on the Rosenvangs street side, invisible and unmaintained ",1,Concrete slabs, Barred (concrete slabs or earthen cover bar access fully or partially),S,entryway-photo/0304-III-Adela-entryway-photo.jpg,"Pic takes from shelter top, entrance overgrown by bush, impenetrable.  Adult trees on top of she", Square, Side,0.3,emergency-exit-photo/0304-III-Adela-emergency-exit-photo.jpg,"East side, old , untouched,  gently overgrown ",Inaccessible ,
0306-III-Adela,rec-be20c12a-3ffa-47d9-b56c-621711f6c5f9,frev-4b35c869-3c9f-4ced-9e15-8f487c90a40a,Shelter,,2024-10-12T13:50:48.164Z,1.09468306189159E+020,2024-10-12T13:51:15.849Z,Adela,306,0306-III-Adela,Tommy Cassoes data,overview-photo/0306-III-Adela-overview-photo.jpg,III,Single iteration,Midtagervej corner of sportsfi,"{""type"":""Feature"",""properties"":{""timestamp"":1728740802856,""altitude"":85.69999999999999,""speed"":0.3870711028575897,""heading"":221,""accuracy"":6.099999904632568,""altitude_accuracy"":119.30000305175781},""geometry"":{""type"":""Point"",""coordinates"":[10.1785167,56.1243067]}}",56.1243067,10.1785167,6.09999990463257,Shrubs,Grassland or park,,1, NA, Other,W,entryway-photo/0306-III-Adela-entryway-photo.jpg,"Behind fence, bars assumed,  facing the tennis field not the road", Square, Side,0.3,emergency-exit-photo/0306-III-Adela-emergency-exit-photo.jpg,"South corner of shelter by boulevard,  overgrown by trees and visible to eye but hard to photograph,  pipe distance assumed  not seen",Inaccessible ,
0307-III-Adela,rec-6c00eb79-0a1e-442c-9376-351823feb2d8,frev-1cbb8c49-69de-40e4-831a-a35b44739175,Shelter,,2024-10-12T14:09:53.652Z,1.09468306189159E+020,2024-10-12T14:10:13.370Z,Adela,307,0307-III-Adela,Tommy Cassoes data,overview-photo/0307-III-Adela-overview-photo.jpg,III,A,"Between Holmes ringvej and Monradvej, facing the former,  easily visible at distance,  clear and accessible ","{""type"":""Feature"",""properties"":{""timestamp"":1728741915558,""altitude"":67.5,""speed"":0.1559608280658722,""heading"":103,""accuracy"":5.900000095367432,""altitude_accuracy"":100.0999984741211},""geometry"":{""type"":""Point"",""coordinates"":[10.162045,56.12341]}}",56.12341,10.162045,5.90000009536743,Grass,Grassland or park,,1,Concrete slabs, Barred (concrete slabs or earthen cover bar access fully or partially), E,entryway-photo/0307-III-Adela-entryway-photo.jpg,Tall and faces the ringholmvej road just north of railbridge, Square, Side,0.3,emergency-exit-photo/0307-III-Adela-emergency-exit-photo.jpg,"South is hidden by staircase in grass and tree, northern in plain view.  Old concrete top, untouched well preserve ",Inaccessible ,
0309-III-Adela,rec-44a8653a-2759-43bf-a856-04ac57a47262,frev-4ef811ef-ad62-46bc-9c65-a6bb43ca33de,Shelter,,2024-10-12T14:39:03.516Z,1.09468306189159E+020,2024-10-18T09:19:22.878Z,Adela,309,0309-III-Adela,Tommy Cassoes data,overview-photo/0309-III-Adela-overview-photo.jpg,III,Single iteration,Terpvej across railway,"{""type"":""Feature"",""properties"":{""timestamp"":1729243078970,""altitude"":67.0999984741211,""speed"":0.060787636786699295,""heading"":0,""accuracy"":4.644999980926514,""altitude_accuracy"":3.4377951622009277},""geometry"":{""type"":""Point"",""coordinates"":[10.1686977,56.126131]}}",56.126131,10.1686977,4.64499998092651,Grass,Urban structures or paved,Tree over entrance. Shelter opposite side of terpvej than indicated in archival records,1, Other, Sealed (as in a layer of concrete seals a doorway),NW,entryway-photo/0309-III-Adela-entryway-photo.jpg,"Sealed by metal, facing road,in hillside", Square, Side,0.3,emergency-exit-photo/0309-III-Adela-emergency-exit-photo.jpg,South end of shelter ,Inaccessible ,
0311-III-Adela,rec-48f9c650-cece-43a8-97e8-98a4b6237daa,frev-292e7d06-50e6-41ef-8d06-7002a810b48b,Shelter,,2024-10-12T14:56:58.154Z,1.09468306189159E+020,2024-10-18T09:11:59.923Z,Adela,311,0311-III-Adela,Tommy Cassoes data,overview-photo/0311-III-Adela-overview-photo.jpg,III,Single iteration,"Scout Park vibykongsvang gruppe, clearly visible shelter ","{""type"":""Feature"",""properties"":{""timestamp"":1729242703974,""altitude"":58.099998474121094,""speed"":0.21835263073444366,""heading"":223.38204956054688,""accuracy"":3.2160000801086426,""altitude_accuracy"":4.922585487365723},""geometry"":{""type"":""Point"",""coordinates"":[10.1683668,56.128609]}}",56.128609,10.1683668,3.21600008010864,Trees,Grassland or park,"Easily visible and accessible,  nicely appointed ",1, Doorway, Locked,N,entryway-photo/0311-III-Adela-entryway-photo.jpg,, Square, Side,0.3,emergency-exit-photo/0311-III-Adela-emergency-exit-photo.jpg,,"Inaccessible, behind padlock",
